sed_freq,sed_flux,sed_eflux,flux,fluxer,frequency,wavelength
851920,0.0035,3.00E-05,3.50E-26,3.00E-28,8.52E+14,351
849030,0.00537,0.00035,5.37E-26,3.50E-27,8.49E+14,353
849030,0.00537,0.00035,5.37E-26,3.50E-27,8.49E+14,353
849030,0.00616,0.0004,6.16E-26,4.00E-27,8.49E+14,353
674900,0.0113,0.0003,1.13E-25,3.00E-27,6.75E+14,444
674900,0.012,0.0006,1.20E-25,6.00E-27,6.75E+14,444
674900,0.012,0.0006,1.20E-25,6.00E-27,6.75E+14,444
674900,0.012,0.0006,1.20E-25,6.00E-27,6.75E+14,444
674900,0.0114,0.001,1.14E-25,1.00E-26,6.75E+14,444
674900,0.0114,0.001,1.14E-25,1.00E-26,6.75E+14,444
674900,0.013,0.0012,1.30E-25,1.20E-26,6.75E+14,444
621980,0.0115,0.0005,1.15E-25,5.00E-27,6.22E+14,481
621980,0.0114,0.0005,1.14E-25,5.00E-27,6.22E+14,481
541430,0.0114,1.00E-04,1.14E-25,1.00E-27,5.41E+14,553
541430,0.0114,1.00E-04,1.14E-25,1.00E-27,5.41E+14,553
541430,0.0107,1.00E-04,1.07E-25,1.00E-27,5.41E+14,553
541430,0.00915,0.00052,9.15E-26,5.20E-27,5.41E+14,553
541430,0.00915,0.00052,9.15E-26,5.20E-27,5.41E+14,553
541430,0.0115,0.0006,1.15E-25,6.00E-27,5.41E+14,553
541430,0.00775,0.00074,7.75E-26,7.40E-27,5.41E+14,553
541430,0.00775,0.00074,7.75E-26,7.40E-27,5.41E+14,553
541430,0.0102,0.0009,1.02E-25,9.00E-27,5.41E+14,553
479900,0.0114,0.0009,1.14E-25,9.00E-27,4.80E+14,624
479900,0.0114,0.0009,1.14E-25,9.00E-27,4.80E+14,624
392660,0.0104,0.0003,1.04E-25,3.00E-27,3.93E+14,763
392660,0.0104,0.0003,1.04E-25,3.00E-27,3.93E+14,763
380160,0.0102,0.0002,1.02E-25,2.00E-27,3.80E+14,788
380160,0.00909,0.00089,9.09E-26,8.90E-27,3.80E+14,788
379480,0.00891,0.00087,8.91E-26,8.70E-27,3.79E+14,790
332440,0.00914,6.00E-05,9.14E-26,6.00E-28,3.32E+14,901
241960,0.00977,9.00E-05,9.77E-26,9.00E-28,2.42E+14,1239
241960,0.00935,0.00016,9.35E-26,1.60E-27,2.42E+14,1239
241960,0.00782,0.00016,7.82E-26,1.60E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.0078,0.00018,7.80E-26,1.80E-27,2.42E+14,1239
241960,0.00771,0.00018,7.71E-26,1.80E-27,2.42E+14,1239
241960,0.00771,0.00018,7.71E-26,1.80E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.00782,0.00018,7.82E-26,1.80E-27,2.42E+14,1239
241960,0.00935,0.0002,9.35E-26,2.00E-27,2.42E+14,1239
241960,0.00782,0.00022,7.82E-26,2.20E-27,2.42E+14,1239
241960,0.00805,0.00022,8.05E-26,2.20E-27,2.42E+14,1239
241770,0.00811,0.00012,8.11E-26,1.20E-27,2.42E+14,1239
239830,0.00788,9.00E-05,7.88E-26,9.00E-28,2.40E+14,1250
239830,0.00997,9.00E-05,9.97E-26,9.00E-28,2.40E+14,1250
239830,0.00798,0.00018,7.98E-26,1.80E-27,2.40E+14,1250
239830,0.00798,0.00018,7.98E-26,1.80E-27,2.40E+14,1250
239830,0.00798,0.00018,7.98E-26,1.80E-27,2.40E+14,1250
183920,0.00948,9.00E-05,9.48E-26,9.00E-28,1.84E+14,1630
183920,0.00788,0.00019,7.88E-26,1.90E-27,1.84E+14,1630
183920,0.00793,0.0002,7.93E-26,2.00E-27,1.84E+14,1630
183920,0.00793,0.0002,7.93E-26,2.00E-27,1.84E+14,1630
183920,0.00793,0.0002,7.93E-26,2.00E-27,1.84E+14,1630
181750,0.00958,9.00E-05,9.58E-26,9.00E-28,1.82E+14,1649
181750,0.00966,0.0002,9.66E-26,2.00E-27,1.82E+14,1649
181750,0.00767,0.0002,7.67E-26,2.00E-27,1.82E+14,1649
181750,0.00801,0.0002,8.01E-26,2.00E-27,1.82E+14,1649
181750,0.00786,0.0002,7.86E-26,2.00E-27,1.82E+14,1649
181750,0.00786,0.0002,7.86E-26,2.00E-27,1.82E+14,1649
181750,0.00836,0.0002,8.36E-26,2.00E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00021,8.01E-26,2.10E-27,1.82E+14,1649
181750,0.00801,0.00022,8.01E-26,2.20E-27,1.82E+14,1649
181750,0.00966,0.00022,9.66E-26,2.20E-27,1.82E+14,1649
181750,0.00811,0.00022,8.11E-26,2.20E-27,1.82E+14,1649
138790,0.0118,0.0003,1.18E-25,3.00E-27,1.39E+14,2160
138550,0.0134,0.0002,1.34E-25,2.00E-27,1.39E+14,2163
138550,0.0129,0.0002,1.29E-25,2.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0134,0.0003,1.34E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0112,0.0003,1.12E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0114,0.0003,1.14E-25,3.00E-27,1.39E+14,2163
138550,0.0114,0.0003,1.14E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
138550,0.0117,0.0003,1.17E-25,3.00E-27,1.39E+14,2163
138550,0.0116,0.0003,1.16E-25,3.00E-27,1.39E+14,2163
136890,0.0124,0.0002,1.24E-25,2.00E-27,1.37E+14,2190
136890,0.0114,0.0003,1.14E-25,3.00E-27,1.37E+14,2190
136890,0.0112,0.0003,1.12E-25,3.00E-27,1.37E+14,2190
89490,0.0228,0.0002,2.28E-25,2.00E-27,8.95E+13,3350
89490,0.023,0.0005,2.30E-25,5.00E-27,8.95E+13,3350
89490,0.0232,0.0005,2.32E-25,5.00E-27,8.95E+13,3350
89490,0.023,0.0005,2.30E-25,5.00E-27,8.95E+13,3350
89490,0.0227,0.0005,2.27E-25,5.00E-27,8.95E+13,3350
89490,0.023,0.0005,2.30E-25,5.00E-27,8.95E+13,3350
89490,0.023,0.0005,2.30E-25,5.00E-27,8.95E+13,3350
84449,0.0291,0.0005,2.91E-25,5.00E-27,8.44E+13,3549
84449,0.0284,0.0009,2.84E-25,9.00E-27,8.44E+13,3549
66724,0.0375,0.0003,3.75E-25,3.00E-27,6.67E+13,4493
66724,0.0374,0.0008,3.74E-25,8.00E-27,6.67E+13,4493
65172,0.0328,0.0002,3.28E-25,2.00E-27,6.52E+13,4600
65172,0.0329,0.0006,3.29E-25,6.00E-27,6.52E+13,4600
65172,0.0334,0.0006,3.34E-25,6.00E-27,6.52E+13,4600
65172,0.0329,0.0006,3.29E-25,6.00E-27,6.52E+13,4600
65172,0.0323,0.0006,3.23E-25,6.00E-27,6.52E+13,4600
65172,0.0329,0.0006,3.29E-25,6.00E-27,6.52E+13,4600
65172,0.0329,0.0006,3.29E-25,6.00E-27,6.52E+13,4600
52311,0.0418,0.0004,4.18E-25,4.00E-27,5.23E+13,5730
52311,0.0421,0.0008,4.21E-25,8.00E-27,5.23E+13,5730
52311,0.0414,0.0012,4.14E-25,1.20E-26,5.23E+13,5730
38083,0.0624,0.0006,6.24E-25,6.00E-27,3.81E+13,7872
38083,0.0615,0.0008,6.15E-25,8.00E-27,3.81E+13,7872
38083,0.0609,0.0011,6.09E-25,1.10E-26,3.81E+13,7872
36207,0.0665,0.0058,6.65E-25,5.80E-26,3.62E+13,8279
25934,0.0598,0.0008,5.98E-25,8.00E-27,2.59E+13,11559
25934,0.0595,0.0009,5.95E-25,9.00E-27,2.59E+13,11559
25934,0.0595,0.0009,5.95E-25,9.00E-27,2.59E+13,11559
25934,0.0635,0.0009,6.35E-25,9.00E-27,2.59E+13,11559
25934,0.0595,0.0009,5.95E-25,9.00E-27,2.59E+13,11559
25934,0.0595,0.0009,5.95E-25,9.00E-27,2.59E+13,11559
25934,0.0595,0.0013,5.95E-25,1.30E-26,2.59E+13,11559
13571,0.0634,0.0017,6.34E-25,1.70E-26,1.36E+13,22090
13571,0.0615,0.0018,6.15E-25,1.80E-26,1.36E+13,22090
13571,0.0615,0.0018,6.15E-25,1.80E-26,1.36E+13,22090
13571,0.0605,0.0018,6.05E-25,1.80E-26,1.36E+13,22090
13571,0.0615,0.0018,6.15E-25,1.80E-26,1.36E+13,22090
13571,0.0615,0.0018,6.15E-25,1.80E-26,1.36E+13,22090
13571,0.0618,0.0039,6.18E-25,3.90E-26,1.36E+13,22090
12663,0.0518,1.00E-04,5.18E-25,1.00E-27,1.27E+13,23674
12663,0.0552,0.0005,5.52E-25,5.00E-27,1.27E+13,23674
12663,0.0552,0.0006,5.52E-25,6.00E-27,1.27E+13,23674
12663,0.0544,0.0012,5.44E-25,1.20E-26,1.27E+13,23674
